Sample	Name-Deploy_Cartr_Library	Deployment	Cartridge_ID	sites	replicates	site_altname	controls	Volume_liter	lat	long	Bayside	Habitat	Site-type	Date	Start Time (ET)	End Time (ET)	Night/ Day	Datecode	Year	Month	Day
2.12ES2_S25_L001	2.12ES2	2	12	27	2_27	T1	NA	0.7	40.833381	-72.536572	W	EELGRASS	Shallow	9/12/24	0:23:22	0:35:13	Night	20240912	2024	9	12
2.13ES2_S25_L001	2.13ES2	2	13	10	2_10	10	NA	0.7	40.837915	-72.536772	W	OPEN WATER	Trawl	9/12/24	0:44:22	0:55:52	Night	20240912	2024	9	12
2.14ES2_S25_L001	2.14ES2	2	14	20	2_20	20	NA	0.7	40.86892	-72.4441	E	OPEN WATER	New	9/12/24	2:54:21	3:06:01	Night	20240912	2024	9	12
2.15ES2_S25_L001	2.15ES2	2	15	20	2_20	20	NA	0.7	40.86892	-72.4441	E	OPEN WATER	New	9/12/24	3:07:23	3:19:03	Night	20240912	2024	9	12
3.7ES2_S25_L001	3.7ES2	3	7	13	3_13	13	NA	0.7	40.868609	-72.474584	E	OPEN WATER	Trawl	9/12/24	16:42:30	16:54:01	Day	20240912	2024	9	12
4.2ES2_S25_L001	4.2ES2	4	2	10	4_10a	10	NA	0.7	40.838014	-72.536818	W	OPEN WATER	Trawl	9/13/24	19:25:56	19:37:37	Night	20240913	2024	9	13
4.3ES2_S25_L001	4.3ES2	4	3	12	4_12a	12	NA	0.7	40.833474	-72.552525	W	OPEN WATER	Trawl	9/13/24	19:53:02	20:04:32	Night	20240913	2024	9	13
4.4ES2_S25_L001	4.4ES2	4	4	9	4_9a	9	NA	0.7	40.828729	-72.531938	W	OPEN WATER	Trawl	9/13/24	20:26:02	20:37:00	Night	20240913	2024	9	13
4.5ES2_S25_L001	4.5ES2	4	5	8	4_8	8	NA	0.669	40.848655	-72.548	W	OPEN WATER	Trawl	9/13/24	21:13:16	21:27:49	Night	20240913	2024	9	13
4.6ES2_S25_L001	4.6ES2	4	6	4	4_4	4	NA	0.7	40.846597	-72.500637	E	OPEN WATER	Trawl	9/13/24	22:07:37	22:21:10	Night	20240913	2024	9	13
4.7ES2_S25_L001	4.7ES2	4	7	3	4_3	3	NA	0.7	40.850866	-72.488569	E	OPEN WATER	Trawl	9/13/24	22:41:29	22:53:21	Night	20240913	2024	9	13
4.8ES2_S25_L001	4.8ES2	4	8	2	4_2	2	NA	0.7	40.862639	-72.493509	E	OPEN WATER	Trawl	9/13/24	23:10:16	23:22:08	Night	20240913	2024	9	13
4.9ES2_S25_L001	4.9ES2	4	9	1	4_1	1	NA	0.7	40.881043	-72.480417	E	OPEN WATER	Trawl	9/13/24	23:47:32	23:59:03	Night	20240913	2024	9	13
4.12ES2_S25_L001	4.12ES2	4	12	7	4_7	7	NA	0.568	40.876243	-72.457363	E	OPEN WATER	Trawl	9/14/24	1:14:35	1:27:48	Night	20240914	2024	9	14
4.13ES2_S25_L001	4.13ES2	4	13	10	4_10b	10	NA	0.7	40.837893	-72.53665	W	OPEN WATER	Trawl	9/14/24	2:51:26	3:03:17	Night	20240914	2024	9	14
4.14ES2_S25_L001	4.14ES2	4	14	12	4_12b	12	NA	0.7	40.83354	-72.552619	W	OPEN WATER	Trawl	9/14/24	3:18:41	3:32:44	Night	20240914	2024	9	14
4.15ES2_S25_L001	4.15ES2	4	15	9	4_9b	9	NA	0.7	40.828712	-72.531978	W	OPEN WATER	Trawl	9/14/24	3:56:26	4:10:19	Night	20240914	2024	9	14
5.1ES2_S25_L001	5.1ES2	5	1	15	5_15	15	NA	0.388	40.881638	-72.440168	E	OPEN WATER	New	9/15/24	7:13:19	7:25:01	Day	20240915	2024	9	15
5.2ES2_S25_L001	5.2ES2	5	2	15	5_15	15	NA	0.236	40.881638	-72.440168	E	OPEN WATER	New	9/15/24	7:27:33	7:43:08	Day	20240915	2024	9	15
5.3ES2_S26_L001	5.3ES2	5	3	7	5_7	7	NA	0.7	40.876297	-72.457371	E	OPEN WATER	Trawl	9/15/24	8:18:33	8:32:47	Day	20240915	2024	9	15
5.4ES2_S26_L001	5.4ES2	5	4	29	5_29	T3	NA	0.451	40.880262	-72.465403	E	EELGRASS	Shallow	9/15/24	8:51:56	9:10:55	Day	20240915	2024	9	15
5.5ES2_S26_L001	5.5ES2	5	5	29	5_29	T3	NA	0.652	40.880208	-72.465347	E	EELGRASS	Shallow	9/15/24	9:12:47	9:31:46	Day	20240915	2024	9	15
5.6ES2_S26_L001	5.6ES2	5	6	13	5_13	13	NA	0.7	40.868578	-72.474612	E	OPEN WATER	Trawl	9/15/24	9:51:45	10:07:51	Day	20240915	2024	9	15
5.8ES2_S26_L001	5.8ES2	5	8	19	5_19	19	NA	0.7	40.878498	-72.493889	E	OPEN WATER	New	9/15/24	10:59:10	11:10:41	Day	20240915	2024	9	15
5.9ES2_S26_L001	5.9ES2	5	9	19	5_19	19	NA	0.7	40.878498	-72.493889	E	OPEN WATER	New	9/15/24	11:11:21	11:22:52	Day	20240915	2024	9	15
5.10ES2_S26_L001	5.10ES2	5	10	2	5_2	2	NA	0.7	40.862565	-72.493458	E	OPEN WATER	Trawl	9/15/24	11:57:24	12:09:36	Day	20240915	2024	9	15
5.13ES2_S26_L001	5.13ES2	5	13	30	5_30	T4	NA	0.7	40.85816	-72.49513	E	EELGRASS	Shallow	9/15/24	12:40:06	12:54:50	Day	20240915	2024	9	15
5.16ES2_S26_L001	5.16ES2	5	16	3	5_3	3	NA	0.7	40.850855	-72.488632	E	OPEN WATER	Trawl	9/15/24	14:20:13	14:35:18	Day	20240915	2024	9	15
5.17ES2_S26_L001	5.17ES2	5	17	3	5_3	3	NA	0.7	40.850855	-72.488632	E	OPEN WATER	Trawl	9/15/24	14:35:48	14:51:44	Day	20240915	2024	9	15
5.19ES2_S26_L001	5.19ES2	5	19	17	5_17	17	NA	0.7	40.84684	-72.47505	E	OPEN WATER	New	9/15/24	15:23:25	15:23:25	Day	20240915	2024	9	15
5.20ES2_S26_L001	5.20ES2	5	20	21	5_21	21	NA	0.7	40.859105	-72.477249	E	OPEN WATER	New	9/15/24	16:03:11	16:14:52	Day	20240915	2024	9	15
5.23ES2_S26_L001	5.23ES2	5	23	20	5_20	20	NA	0.502	40.86892	-72.4441	E	OPEN WATER	New	9/15/24	17:12:36	17:31:14	Day	20240915	2024	9	15
5.24ES2_S26_L001	5.24ES2	5	24	20	5_20	20	NA	0.7	40.86892	-72.4441	E	OPEN WATER	New	9/15/24	17:32:15	17:48:50	Day	20240915	2024	9	15
6.2ES2_S26_L001	6.2ES2	6	2	28	6_28	T2	NA	0.7	40.84476	-72.50889	W	EELGRASS	Shallow	9/16/24	8:38:41	8:50:53	Day	20240916	2024	9	16
6.3ES2_S26_L001	6.3ES2	6	3	28	6_28	T2	NA	0.285	40.84476	-72.50889	W	EELGRASS	Shallow	9/16/24	8:51:54	9:10:53	Day	20240916	2024	9	16
6.4ES2_S26_L001	6.4ES2	6	4	14	6_14	14	NA	0.7	40.843457	-72.518716	W	OPEN WATER	New	9/16/24	9:21:43	9:33:25	Day	20240916	2024	9	16
6.5ES2_S26_L001	6.5ES2	6	5	24	6_24	Tiana	NA	0.7	40.86009	-72.537887	W	CLAM SANCTUARY	Shallow	9/16/24	10:05:57	10:17:59	Day	20240916	2024	9	16
6.6ES2_S26_L001	6.6ES2	6	6	24	6_24	Tiana	NA	0.7	40.86009	-72.537887	W	CLAM SANCTUARY	Shallow	9/16/24	10:19:10	10:31:12	Day	20240916	2024	9	16
6.7ES2_S26_L001	6.7ES2	6	7	8	6_8	8	NA	0.7	40.848629	-72.548015	W	OPEN WATER	Trawl	9/16/24	11:22:53	11:34:54	Day	20240916	2024	9	16
6.9ES2_S26_L001	6.9ES2	6	9	22	6_22	22	NA	0.465	40.83968	-72.56623	W	OYSTER REEF	New	9/16/24	12:43:02	0:00:00	Day	20240916	2024	9	16
7.1ES2_S26_L001	7.1ES2	7	1	15	7_15	15	NA	0.368	40.881638	-72.440168	E	OPEN WATER	New	9/17/24	7:45:24	7:56:44	Day	20240917	2024	9	17
7.2ES2_S26_L001	7.2ES2	7	2	15	7_15	15	NA	0.391	40.881638	-72.440168	E	OPEN WATER	New	9/17/24	7:56:54	8:09:00	Day	20240917	2024	9	17
7.3ES2_S26_L001	7.3ES2	7	3	20	7_20a	20	NA	0.627	40.869005	-72.444101	E	OPEN WATER	New	9/17/24	8:25:00	8:43:00	Day	20240917	2024	9	17
7.4ES2_S26_L001	7.4ES2	7	4	20	7_20a	20	NA	0.691	40.869012	-72.444134	E	OPEN WATER	New	9/17/24	8:44:00	9:03:00	Day	20240917	2024	9	17
7.5ES2_S26_L001	7.5ES2	7	5	8	7_8	8	NA	0.7	40.84863	-72.548037	W	OPEN WATER	Trawl	9/17/24	10:31:00	10:47:00	Day	20240917	2024	9	17
7.8ES2_S26_L001	7.8ES2	7	8	12	7_12	12	NA	0.7	40.833473	-72.552485	W	OPEN WATER	Trawl	9/17/24	11:19:00	11:34:00	Day	20240917	2024	9	17
7.9ES2_S26_L001	7.9ES2	7	9	23	7_23	WC	NA	0.7	40.838628	-72.569971	W	CLAM SANCTUARY	Shallow	9/17/24	11:52:00	12:03:00	Day	20240917	2024	9	17
7.10ES2_S26_L001	7.10ES2	7	10	23	7_23	WC	NA	0.622	40.838628	-72.569971	W	CLAM SANCTUARY	Shallow	9/17/24	12:05:00	12:23:00	Day	20240917	2024	9	17
7.11ES2_S26_L001	7.11ES2	7	11	16	7_16	16	NA	0.7	40.827813	-72.576158	W	OPEN WATER	New	9/17/24	12:40:52	12:55:46	Day	20240917	2024	9	17
7.12ES2_S26_L001	7.12ES2	7	12	16	7_16	16	NA	0.7	40.827813	-72.576158	W	OPEN WATER	New	9/17/24	12:59:09	13:11:30	Day	20240917	2024	9	17
7.13ES2_S26_L001	7.13ES2	7	13	26	7_26	26	NA	0.7	40.812336	-72.59013	W	OYSTER REEF	Shallow	9/17/24	13:46:42	13:59:02	Day	20240917	2024	9	17
7.15ES2_S26_L001	7.15ES2	7	15	18	7_18	18	NA	0.7	40.83084	-72.54773	W	OPEN WATER	New	9/17/24	14:45:15	14:57:37	Day	20240917	2024	9	17
7.17ES2_S26_L001	7.17ES2	7	17	9	7_9	9	NA	0.7	40.828729	-72.531938	W	OPEN WATER	Trawl	9/17/24	15:36:32	15:48:13	Day	20240917	2024	9	17
7.24ES2_S26_L001	7.24ES2	7	24	20	7_20b	20	NA	0.406	40.86892	-72.4441	E	OPEN WATER	New	9/17/24	18:23:04	18:42:11	Day	20240917	2024	9	17
7.25ES2_S26_L001	7.25ES2	7	25	20	7_20b	20	NA	0.392	40.86892	-72.4441	E	OPEN WATER	New	9/17/24	18:42:22	19:01:19	Day	20240917	2024	9	17
C.2ES2_S25_L001	C.2ES2	Controls	2	control	negcontrol	control	negative	0.7	NA	NA	Control	NA	Control	NA	NA	NA	NA	NA	NA	NA	NA
C.3ES2_S25_L001	C.3ES2	Controls	3	control	negcontrol	control	negative	0.7	NA	NA	Control	NA	Control	NA	NA	NA	NA	NA	NA	NA	NA
C.4ES2_S25_L001	C.4ES2	Controls	4	control	poscontrol	control	positive	0.7	NA	NA	Control	NA	Control	NA	NA	NA	NA	NA	NA	NA	NA
C.5ES2_S25_L001	C.5ES2	Controls	5	control	poscontrol	control	positive	0.7	NA	NA	Control	NA	Control	NA	NA	NA	NA	NA	NA	NA	NA
8.1ES2_S26_L001	8.1ES2	8	1	15	8_15	15	NA	0.318	40.881638	-72.440168	E	OPEN WATER	New	9/18/24	14:43:52	14:54:11	Day	20240918	2024	9	18
8.2ES2_S26_L001	8.2ES2	8	2	20	8_20	20	NA	0.7	40.86892	-72.4441	E	OPEN WATER	New	9/18/24	15:22:37	15:34:58	Day	20240918	2024	9	18
8.3ES2_S26_L001	8.3ES2	8	3	11	8_11a	11	NA	0.69	40.856276	-72.455988	E	OPEN WATER	Trawl	9/18/24	15:53:25	16:10:51	Day	20240918	2024	9	18
8.4ES2_S26_L001	8.4ES2	8	4	11	8_11a	11	NA	0.543	40.856276	-72.455988	E	OPEN WATER	Trawl	9/18/24	16:12:53	16:33:32	Day	20240918	2024	9	18
8.7ES2_S26_L001	8.7ES2	8	7	3	8_3	3	NA	0.7	40.850878	-72.488708	E	OPEN WATER	Trawl	9/18/24	17:40:33	17:52:14	Day	20240918	2024	9	18
8.9ES2_S26_L001	8.9ES2	8	9	4	8_4a	4	NA	0.7	40.846595	-72.500599	E	OPEN WATER	Trawl	9/18/24	18:13:34	18:25:25	Day	20240918	2024	9	18
8.10ES2_S26_L001	8.10ES2	8	10	30	8_30	T4	NA	0.7	40.858127	-72.49513	E	EELGRASS	Shallow	9/18/24	18:50:17	19:06:22	Night	20240918	2024	9	18
8.11ES2_S26_L001	8.11ES2	8	11	2	8_2	2	NA	0.139	40.86266	-72.493587	E	OPEN WATER	Trawl	9/18/24	19:14:09	19:26:30	Night	20240918	2024	9	18
8.15ES2_S26_L001	8.15ES2	8	15	4	8_4b	4	NA	0.444	40.84656	-72.50064	E	OPEN WATER	Trawl	9/18/24	20:17:17	20:36:45	Night	20240918	2024	9	18
8.16ES2_S26_L001	8.16ES2	8	16	3	8_3	3	NA	0.133	40.850855	-72.488632	E	OPEN WATER	Trawl	9/18/24	20:58:45	21:06:12	Night	20240918	2024	9	18
8.17ES2_S26_L001	8.17ES2	8	17	3	8_3	3	NA	0.7	40.850855	-72.488632	E	OPEN WATER	Trawl	9/18/24	21:09:55	21:18:23	Night	20240918	2024	9	18
8.18ES2_S26_L001	8.18ES2	8	18	11	8_11b	11	NA	0.7	40.855792	-72.45562	E	OPEN WATER	Trawl	9/18/24	22:04:56	22:18:28	Night	20240918	2024	9	18
8.22ES2_S26_L001	8.22ES2	8	22	7	8_7	7	NA	0.595	40.876297	-72.457371	E	OPEN WATER	Trawl	9/19/24	0:00:52	0:16:16	Night	20240919	2024	9	19
