Sample	Name-Deploy_Cartr	Deployment	Cartridge_ID	sites	replicates	site_altname	Station	controls	Volume_liter	lat	long	Bayside	Habitat	Site-type	Date	Start Time (ET)	End Time (ET)	Night/ Day	Datecode	Year	Month	Day	DO	Temperature	Salinity	Time	Weather
4.Jan_S1_L001	1.4_	1	4	12	1_12	12	PINE NECK	NA	0.792	40.83347403	-72.55252498	W	OPEN WATER	Trawl	9/10/24	11:51:26	NA	Day	20240910	2024	9	10					
4.Jul_S1_L002	7.4_	7	4	20	7_20a	20	EAST SOUTH BAY	NA	0.691	40.869012	-72.444134	E	OPEN WATER	New	9/17/24	8:44:00	9:03:00	Day	20240917	2024	9	17					
4.Jun_S1_L002	6.4_	6	4	14	6_14	14	EW MID BAY	NA	0.7	40.843457	-72.518716	W	OPEN WATER	New	9/16/24	9:21:43	9:33:25	Day	20240916	2024	9	16					
4.May_S1_L002	5.4_	5	4	29	5_29	T3	NORTHEASTERN BAY EEL GRASS	NA	0.451	40.880262	-72.465403	E	EELGRASS	Shallow	9/15/24	8:51:56	9:10:55	Day	20240915	2024	9	15					
5.Apr_S1_L002	4.5_	4	5	8	4_8	8	WEST TIANA	NA	0.669	40.848655	-72.548	W	OPEN WATER	Trawl	9/13/24	21:13:16	21:27:49	Night	20240913	2024	9	13					
5.Feb_S1_L002	2.5_	2	5	8	2_8	8	WEST TIANA	NA	0.7	40.848629	-72.548015	W	OPEN WATER	Trawl	9/11/24	20:03:55	20:15:36	Night	20240911	2024	9	11					
5.Jan_S1_L001	1.5_	1	5	9	1_9	9	DUNE ROAD	NA	0.975	40.828756	-72.532029	W	OPEN WATER	Trawl	9/10/24	12:29:41	12:44:45	Day	20240910	2024	9	10					
5.Jul_S1_L002	7.5_	7	5	8	7_8	8	WEST TIANA	NA	0.7	40.84863	-72.548037	W	OPEN WATER	Trawl	9/17/24	10:31:00	10:47:00	Day	20240917	2024	9	17					
5.Jun_S1_L002	6.5_	6	5	24	6_24	Tiana	TIANA CLAM 	NA	0.7	40.86009	-72.537887	W	CLAM SANCTUARY	Shallow	9/16/24	10:05:57	10:17:59	Day	20240916	2024	9	16					
5.May_S1_L002	5.5_	5	5	29	5_29	T3	NORTHEASTERN BAY EEL GRASS	NA	0.652	40.880208	-72.465347	E	EELGRASS	Shallow	9/15/24	9:12:47	9:31:46	Day	20240915	2024	9	15					
6.Apr_S1_L002	4.6_	4	6	4	4_4	4	PONQUOGUE BRIDGE	NA	0.7	40.846597	-72.500637	E	OPEN WATER	Trawl	9/13/24	22:07:37	22:21:10	Night	20240913	2024	9	13					
6.Feb_S1_L002	2.6_	2	6	12	2_12	12	PINE NECK	NA	0.7	40.833474	-72.552525	W	OPEN WATER	Trawl	9/11/24	20:38:47	20:50:38	Night	20240911	2024	9	11					
6.Jun_S1_L002	6.6_	6	6	24	6_24	Tiana	TIANA CLAM 	NA	0.7	40.86009	-72.537887	W	CLAM SANCTUARY	Shallow	9/16/24	10:19:10	10:31:12	Day	20240916	2024	9	16					
6.May_S1_L002	5.6_	5	6	13	5_13	13	EAST MID BAY	NA	0.7	40.868578	-72.474612	E	OPEN WATER	Trawl	9/15/24	9:51:45	10:07:51	Day	20240915	2024	9	15					
7.Apr_S1_L002	4.7_	4	7	3	4_3	3	INLET	NA	0.7	40.850866	-72.488569	E	OPEN WATER	Trawl	9/13/24	22:41:29	22:53:21	Night	20240913	2024	9	13					
7.Aug_S1_L002	8.7_	8	7	3	8_3	3	INLET	NA	0.7	40.850878	-72.488708	E	OPEN WATER	Trawl	9/18/24	17:40:33	17:52:14	Day	20240918	2024	9	18					
7.Feb_S1_L002	2.7_	2	7	22	2_22	22	WESSUCK OYSTER	NA	0.7	40.83968	-72.56623	W	OYSTER REEF	New	9/11/24	21:13:59	21:25:29	Night	20240911	2024	9	11					
7.Jan_S1_L001	1.7_	1	7	8	1_8	8	WEST TIANA	NA	0.758	40.848629	-72.548015	W	OPEN WATER	Trawl	9/10/24	13:26:53	13:38:34	Day	20240910	2024	9	10					
7.Jun_S1_L002	6.7_	6	7	8	6_8	8	WEST TIANA	NA	0.7	40.848629	-72.548015	W	OPEN WATER	Trawl	9/16/24	11:22:53	11:34:54	Day	20240916	2024	9	16					
7.Mar_S1_L002	3.7_	3	7	13	3_13	13	LITTLE POND	NA	0.7	40.868609	-72.474584	E	OPEN WATER	Trawl	9/12/24	16:42:30	16:54:01	Day	20240912	2024	9	12					
8.Apr_S1_L002	4.8_	4	8	2	4_2	2	CORMORANT POINT	NA	0.7	40.862639	-72.493509	E	OPEN WATER	Trawl	9/13/24	23:10:16	23:22:08	Night	20240913	2024	9	13					
8.Feb_S1_L002	2.8_	2	8	23	2_23	WC	WESSUCK CLAM 	NA	0.7	40.838677	-72.568717	W	CLAM SANCTUARY	Shallow	9/11/24	21:33:17	21:44:47	Night	20240911	2024	9	11					
8.Jul_S1_L002	7.8_	7	8	12	7_12	12	PINE NECK	NA	0.7	40.833473	-72.552485	W	OPEN WATER	Trawl	9/17/24	11:19:00	11:34:00	Day	20240917	2024	9	17					
8.May_S1_L002	5.8_	5	8	19	5_19	19	SHAGWONG	NA	0.7	40.878498	-72.493889	E	OPEN WATER	New	9/15/24	10:59:10	11:10:41	Day	20240915	2024	9	15					
9.Apr_S1_L002	4.9_	4	9	1	4_1	1	SHINNECOCK HILLS	NA	0.7	40.881043	-72.480417	E	OPEN WATER	Trawl	9/13/24	23:47:32	23:59:03	Night	20240913	2024	9	13					
9.Aug_S1_L002	8.9_	8	9	4	8_4a	4	PONQUOGUE BRIDGE	NA	0.7	40.846595	-72.500599	E	OPEN WATER	Trawl	9/18/24	18:13:34	18:25:25	Day	20240918	2024	9	18					
9.Feb_S1_L002	2.9_	2	9	16	2_16	16	SOAR SITE	NA	0.7	40.82784	-72.57621	W	OPEN WATER	New	9/11/24	22:07:48	22:19:19	Night	20240911	2024	9	11					
9.Jan_S1_L001	1.9_	1	9	4	1_4	4	PONQUOGUE BRIDGE	NA	0.691	40.84662	-72.500542	E	OPEN WATER	Trawl	9/10/24	14:43:04	14:55:15	Day	20240910	2024	9	10					
9.Jul_S1_L002	7.9_	7	9	23	7_23	WC	WESSUCK CLAM 	NA	0.7	40.838628	-72.569971	W	CLAM SANCTUARY	Shallow	9/17/24	11:52:00	12:03:00	Day	20240917	2024	9	17					
10.Aug_S1_L002	8.10_	8	10	30	8_30	T4	SHINNECOCK ROAD EEL GRASS	NA	0.7	40.858127	-72.49513	E	EELGRASS	Shallow	9/18/24	18:50:17	19:06:22	Night	20240918	2024	9	18					
10.Feb_S1_L002	2.10_	2	10	26	2_26	C4	CANAL REEF 4	NA	0.7	40.812303	-72.590097	W	OYSTER REEF	Shallow	9/11/24	22:45:33	22:57:13	Night	20240911	2024	9	11					
10.Jan_S1_L001	1.10_	1	10	3	1_3	3	INLET	NA	0.766	40.850855	-72.488632	E	OPEN WATER	Trawl	9/10/24	15:06:25	15:18:46	Day	20240910	2024	9	10					
10.Jul_S1_L002	7.10_	7	10	23	7_23	WC	WESSUCK CLAM 	NA	0.622	40.838628	-72.569971	W	CLAM SANCTUARY	Shallow	9/17/24	12:05:00	12:23:00	Day	20240917	2024	9	17					
10.May_S1_L002	5.10_	5	10	2	5_2	2	CORMORANT POINT	NA	0.7	40.862565	-72.493458	E	OPEN WATER	Trawl	9/15/24	11:57:24	12:09:36	Day	20240915	2024	9	15					
11.Aug_S1_L002	8.11_	8	11	2	8_2	2	CORMORANT POINT	NA	0.139	40.86266	-72.493587	E	OPEN WATER	Trawl	9/18/24	19:14:09	19:26:30	Night	20240918	2024	9	18					
11.Feb_S1_L002	2.11_	2	11	9	2_9	9	DUNE ROAD	NA	0.7	40.828729	-72.531938	W	OPEN WATER	Trawl	9/12/24	0:00:21	0:12:02	Night	20240912	2024	9	12					
11.Jan_S1_L002	1.11_	1	11	2	1_2	2	CORMORANT POINT	NA	0.536	40.862639	-72.493509	E	OPEN WATER	Trawl	9/10/24	15:33:10	15:42:59	Day	20240910	2024	9	10					
11.Jul_S1_L002	7.11_	7	11	16	7_16	16	SOAR SITE	NA	0.7	40.827813	-72.576158	W	OPEN WATER	New	9/17/24	12:40:52	12:55:46	Day	20240917	2024	9	17					
12.Apr_S1_L002	4.12_	4	12	7	4_7	7	LITTLE POND	NA	0.568	40.876243	-72.457363	E	OPEN WATER	Trawl	9/14/24	1:14:35	1:27:48	Night	20240914	2024	9	14					
12.Feb_S1_L002	2.12_	2	12	27	2_27	T1	TIANA BEACH EELGRASS	NA	0.7	40.833381	-72.536572	W	EELGRASS	Shallow	9/12/24	0:23:22	0:35:13	Night	20240912	2024	9	12					
12.Jan_S1_L002	1.12_	1	12	2	1_2	2	CORMORANT POINT	NA	0.527	40.862639	-72.493509	E	OPEN WATER	Trawl	9/10/24	15:44:20	15:54:19	Day	20240910	2024	9	10					
12.Jul_S1_L002	7.12_	7	12	16	7_16	16	SOAR SITE	NA	0.7	40.827813	-72.576158	W	OPEN WATER	New	9/17/24	12:59:09	13:11:30	Day	20240917	2024	9	17					
13.Apr_S1_L002	4.13_	4	13	10	4_10b	10	WEST MID BAY	NA	0.7	40.837893	-72.53665	W	OPEN WATER	Trawl	9/14/24	2:51:26	3:03:17	Night	20240914	2024	9	14					
13.Feb_S1_L002	2.13_	2	13	10	2_10	10	EAST MID BAY	NA	0.7	40.837915	-72.536772	W	OPEN WATER	Trawl	9/12/24	0:44:22	0:55:52	Night	20240912	2024	9	12					
13.Jan_S1_L002	1.13_	1	13	1	1_1	1	SHINNECOCK HILLS	NA	0.438	40.881043	-72.480417	E	OPEN WATER	Trawl	9/10/24	16:18:11	NA	Day	20240910	2024	9	10					
13.Jul_S1_L002	7.13_	7	13	26	7_26	26	CANAL REEF 4	NA	0.7	40.812336	-72.59013	W	OYSTER REEF	Shallow	9/17/24	13:46:42	13:59:02	Day	20240917	2024	9	17					
13.May_S1_L002	5.13_	5	13	30	5_30	T4	SHINNECOCK ROAD EEL GRASS	NA	0.7	40.85816	-72.49513	E	EELGRASS	Shallow	9/15/24	12:40:06	12:54:50	Day	20240915	2024	9	15					
14.Apr_S1_L002	4.14_	4	14	12	4_12b	12	PINE NECK	NA	0.7	40.83354	-72.552619	W	OPEN WATER	Trawl	9/14/24	3:18:41	3:32:44	Night	20240914	2024	9	14					
14.Feb_S1_L002	2.14_	2	14	20	2_20	20	EW MID BAY	NA	0.7	40.86892	-72.4441	E	OPEN WATER	New	9/12/24	2:54:21	3:06:01	Night	20240912	2024	9	12					
14.Jan_S1_L002	1.14_	1	14	1	1_1	1	SHINNECOCK HILLS	NA	0.382	40.881043	-72.480417	E	OPEN WATER	Trawl	9/10/24	16:34:00	NA	Day	20240910	2024	9	10					
15.Apr_S1_L002	4.15_	4	15	9	4_9b	9	DUNE ROAD	NA	0.7	40.828712	-72.531978	W	OPEN WATER	Trawl	9/14/24	3:56:26	4:10:19	Night	20240914	2024	9	14					
15.Aug_S1_L002	8.15_	8	15	4	8_4b	4	PONQUOGUE BRIDGE	NA	0.444	40.84656	-72.50064	E	OPEN WATER	Trawl	9/18/24	20:17:17	20:36:45	Night	20240918	2024	9	18					
15.Feb_S1_L002	2.15_	2	15	20	2_20	20	OLD FORT POND	NA	0.7	40.86892	-72.4441	E	OPEN WATER	New	9/12/24	3:07:23	3:19:03	Night	20240912	2024	9	12					
15.Jan_S1_L002	1.15_	1	15	13	1_13	13	EAST MID BAY	NA	0.573	40.868552	-72.474623	E	OPEN WATER	Trawl	9/10/24	16:56:57	17:07:37	Day	20240910	2024	9	10					
15.Jul_S1_L002	7.15_	7	15	18	7_18	18	HOT DOG BEACH	NA	0.7	40.83084	-72.54773	W	OPEN WATER	New	9/17/24	14:45:15	14:57:37	Day	20240917	2024	9	17					
16.Aug_S1_L002	8.16_	8	16	3	8_3	3	INLET	NA	0.133	40.850855	-72.488632	E	OPEN WATER	Trawl	9/18/24	20:58:45	21:06:12	Night	20240918	2024	9	18					
16.Jan_S1_L002	1.16_	1	16	13	1_13	13	EAST MID BAY	NA	0.644	40.86847	-72.474572	E	OPEN WATER	Trawl	9/10/24	17:11:30	17:22:20	Day	20240910	2024	9	10					
16.May_S1_L002	5.16_	5	16	3	5_3	3	INLET	NA	0.7	40.850855	-72.488632	E	OPEN WATER	Trawl	9/15/24	14:20:13	14:35:18	Day	20240915	2024	9	15					
17.Aug_S1_L002	8.17_	8	17	3	8_3	3	INLET	NA	0.7	40.850855	-72.488632	E	OPEN WATER	Trawl	9/18/24	21:09:55	21:18:23	Night	20240918	2024	9	18					
17.Jul_S1_L002	7.17_	7	17	9	7_9	9	DUNE ROAD	NA	0.7	40.828729	-72.531938	W	OPEN WATER	Trawl	9/17/24	15:36:32	15:48:13	Day	20240917	2024	9	17					
17.May_S1_L002	5.17_	5	17	3	5_3	3	INLET	NA	0.7	40.850855	-72.488632	E	OPEN WATER	Trawl	9/15/24	14:35:48	14:51:44	Day	20240915	2024	9	15					
18.Aug_S1_L002	8.18_	8	18	11	8_11b	11	SOUTH GRASS	NA	0.7	40.855792	-72.45562	E	OPEN WATER	Trawl	9/18/24	22:04:56	22:18:28	Night	20240918	2024	9	18					
18.Jan_S1_L002	1.18_	1	18	11	1_11	11	SOUTH GRASS	NA	1	40.856391	-72.456575	E	OPEN WATER	Trawl	9/10/24	17:55:11	18:10:37	Day	20240910	2024	9	10					
19.Jan_S1_L002	1.19_	1	19	7	1_7	7	LITTLE POND	NA	0.481	40.876297	-72.457371	E	OPEN WATER	Trawl	9/10/24	18:33:36	18:45:37	Day	20240910	2024	9	10					
19.May_S1_L002	5.19_	5	19	17	5_17	17	REAL INLET	NA	0.7	40.84684	-72.47505	E	OPEN WATER	New	9/15/24	15:23:25	15:23:25	Day	20240915	2024	9	15					
20.Jan_S1_L002	1.20_	1	20	20	1_20	20	EAST SOUTH BAY	NA	0.116	40.86892	-72.4441	E	OPEN WATER	New	9/10/24	18:59:30	19:09:29	Day	20240910	2024	9	10					
20.May_S1_L002	5.20_	5	20	21	5_21	21	FISH HAVEN	NA	0.7	40.859105	-72.477249	E	OPEN WATER	New	9/15/24	16:03:11	16:14:52	Day	20240915	2024	9	15					
22.Aug_S1_L002	8.22_	8	22	7	8_7	7	LITTLE POND	NA	0.595	40.876297	-72.457371	E	OPEN WATER	Trawl	9/19/24	0:00:52	0:16:16	Night	20240919	2024	9	19					
23.May_S1_L002	5.23_	5	23	20	5_20	20	EAST SOUTH BAY	NA	0.502	40.86892	-72.4441	E	OPEN WATER	New	9/15/24	17:12:36	17:31:14	Day	20240915	2024	9	15					
24.Jul_S1_L002	7.24_	7	24	20	7_20b	20	EAST SOUTH BAY	NA	0.406	40.86892	-72.4441	E	OPEN WATER	New	9/17/24	18:23:04	18:42:11	Day	20240917	2024	9	17					
24.May_S1_L002	5.24_	5	24	20	5_20	20	EAST SOUTH BAY	NA	0.7	40.86892	-72.4441	E	OPEN WATER	New	9/15/24	17:32:15	17:48:50	Day	20240915	2024	9	15					
25.Jul_S1_L002	7.25_	7	25	20	7_20b	20	EAST SOUTH BAY	NA	0.392	40.86892	-72.4441	E	OPEN WATER	New	9/17/24	18:42:22	19:01:19	Day	20240917	2024	9	17					
9.Jun_S1_L002	6.9_	6	9	22	6_22	22	WESSUCK OYSTER	NA	0.465	40.83968	-72.56623	W	OYSTER REEF	New	9/16/24	12:43:02	0:00:00	Day	20240916	2024	9	16					
9.May_S1_L002	5.9_	5	9	19	5_19	19	SHAGWONG	NA	0.7	40.878498	-72.493889	E	OPEN WATER	New	9/15/24	11:11:21	11:22:52	Day	20240915	2024	9	15					
C.2_S1_L001	C.2_	Controls	2	control	negcontrol	control	NA	negative	0.7	NA	NA	Control	NA	Control	NA	NA	NA	NA	NA	NA	NA	NA					
C.3_S1_L001	C.3_	Controls	3	control	negcontrol	control	NA	negative	0.7	NA	NA	Control	NA	Control	NA	NA	NA	NA	NA	NA	NA	NA					
C.4_S1_L001	C.4_	Controls	4	control	poscontrol	control	NA	positive	0.7	NA	NA	Control	NA	Control	NA	NA	NA	NA	NA	NA	NA	NA					
C.5_S1_L001	C.5_	Controls	5	control	poscontrol	control	NA	positive	0.7	NA	NA	Control	NA	Control	NA	NA	NA	NA	NA	NA	NA	NA					
